country,project_clean,beneficiary,grant_no,unit_sector_long,eur
Finland,Mixed crew proof of concept,Finnish Border Guard,2017/359,Research and Development Unit,532943
Finland,Technical Equipment,Finnish Border Guard,2022/34,Field Operations Unit,510838
Finland,Human Resources,Finnish Border Guard,2018/127,Operational Response Division,488247
Finland,Human Resources,Finnish Border Guard,2019/89,Field Deployment Unit,480829
Finland,Technical Equipment,Finnish Border Guard,2018/229,Operational Response Division,479031
Finland,Technical Equipment,Finnish Border Guard,2020/41,Field Deployment Unit,475980
Finland,Triton,Finnish Border Guard,2015/961,Sea Border Sector,474044
Finland,Triton,Finnish Border Guard,2017/1262,Sea Border Sector,461213
Finland,Triton,Finnish Border Guard,2016/526,Sea Border Sector,458234
Finland,Technical Equipment,Finnish Border Guard,2018/293,Operational Response Division,443831
Finland,Technical Equipment,Finnish Border Guard,2019/103,Field Deployment Unit,435330
Finland,Indalo,Finnish Border Guard,2014/535,Sea Border Sector,427994.81
Finland,Indalo,Finnish Border Guard,2011/762/,Sea Border Sector,404490.06
Finland,Aeneas,Finnish Border Guard,2011/292/,Sea Border Sector,403948.52
Finland,Hermes,Finnish Border Guard,2012/58,Sea Border Sector,399045.27
Finland,Human Resources,Finnish Border Guard,2021/263,Deployment Management Division,394666.98
Finland,Support Cat.2,Finnish Border Guard,2020/326,Task Force Deployment Management,390930
Finland,Poseidon,Finnish Border Guard,2014/141,Sea Border Sector,383636.28
Finland,Technical Equipment,Finnish Border Guard,2021/63,Field Deployment Unit,379731
Finland,Triton,Finnish Border Guard,2014/972,Sea Border Sector,374177.57
Finland,Indalo,Finnish Border Guard,2013/280,Sea Border Sector,373739.88
Finland,Technical Equipment,Finnish Border Guard,2019/121b,Field Deployment Unit,368178
Finland,European Centre for Returns,Finnish Immigration Service,Multiple smaller grants,European Centre for Returns,138622.5
Finland,Technical Equipment,Finnish Customs,Multiple smaller grants,Operational Response Division,14793
Finland,various projects,Finnish Border Guard,Multiple smaller grants,various,8113726.61
Finland,various projects,Finnish Ministry of Interior,Multiple smaller grants,Air Border Sector,29026.15
Finland,various projects,Finnish National Police Board,Multiple smaller grants,various,708224.47
Finland,various projects,Helsinki Police Department,Multiple smaller grants,various,7044708.75
France,Human Resources,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer",2022/165,Deployment Management Division,3380266.3
France,Human Resources,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer",2021/273,Field Deployment Unit,2249335.13
France,Human Resources,Direction Central de la Police aux Frontieres,2018/129,Operational Response Division,2067632
France,Support Cat.2,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer",2020/324,Task Force Deployment Management,1948032
France,Human Resources,Direction Central de la Police aux Frontieres,2019/95,Field Deployment Unit,1587302
France,Human Resources,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer",2022/244,Deployment Management Division,1567140.33
France,FOA,"Ministère de l'intérieur, Direction générale des étrangers en France",2018/42,Return Support Unit,1438948
France,European Centre for Returns,"Ministère de l'intérieur, Direction générale des étrangers en France",2022/6,European Centre for Returns,1414500
France,European Centre for Returns,"Ministère de l'intérieur, Direction générale des étrangers en France",2022/180,European Centre for Returns,1300106
France,European Centre for Returns,"Ministère de l'intérieur, Direction générale des étrangers en France",2021/372,European Centre for Returns,1108339
France,European Centre for Returns,"Ministère de l'intérieur, Direction générale des étrangers en France",2022/353,European Centre for Returns,1065382
France,Human Resources,Direction Generale de la Gendarmerie nationale,2018/131,Operational Response Division,1062965
France,Technical Equipment & Human Resources,Direction Central de la Police aux Frontieres,2020/100,Field Deployment Unit,1017690
France,European Centre for Returns,"Ministère de l'intérieur, Direction générale des étrangers en France",2020/252,European Centre for Returns,1012794.13
France,FOA,"Ministère de l'intérieur, Direction générale des étrangers en France",2018/304,European Centre for Returns,987140
France,FOA,"Ministère de l'intérieur, Direction générale des étrangers en France",2019/5,European Centre for Returns,986534
France,Nautilus,Direction Central de la Police aux Frontieres,2008/207/,Sea Border Sector,961185.25
France,Human Resources,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer",2021/304,Deployment Management Division,906562.39
France,European Centre for Returns,"Ministère de l'intérieur, Direction générale des étrangers en France",2020/159,European Centre for Returns,828519.87
France,Human Resources,Ministère de la Transition écologique et solidaire,Multiple smaller grants,Coast Guard Sector,11997
France,Human Resources,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer",Multiple smaller grants,Deployment Management Division,20363.05
France,Training on electronic storage of data in electronic Machine Readable Travel Documents,Ecole Nationale Superieure de la Police,Multiple smaller grants,Training Unit,43435
France,various projects,Direction Central de la Police aux Frontieres,Multiple smaller grants,various,10634178.88
France,various projects,Direction Centrale de la Police Judiciaire,Multiple smaller grants,various,1751700
France,various projects,Direction Centrale de la Securite Publique,Multiple smaller grants,various,1832991
France,various projects,Direction Centrale des compagnies republicaines de securite,Multiple smaller grants,various,2617314
France,various projects,Direction Generale de la Gendarmerie nationale,Multiple smaller grants,various,4433922
France,various projects,Direction Generale des Douanes et Droits Indirects,Multiple smaller grants,various,9622922.43
France,various projects,French Navy,Multiple smaller grants,various,8659275.51
France,various projects,"Ministere de l'Immigration, de l'Integration, de l'Identite Nationale et du Developpement Solidaire",Multiple smaller grants,Return Operations Sector,2038411.64
France,various projects,"Ministère de l'intérieur, Direction générale des étrangers en France",Multiple smaller grants,various,10361164.4
France,various projects,Prefecture de Police,Multiple smaller grants,various,2758112.85
Georgia,Human Resources,Patrol Police Department,2019/194,Field Deployment Unit,27493.65
Georgia,Human Resources,Patrol Police Department,2019/218,Field Deployment Unit,26983.26
Georgia,Focal Points,Patrol Police Department,2021/327,Deployment Management Division,26891.24
Georgia,Human Resources,Patrol Police Department,2019/275,Field Deployment Unit,26793.87
Georgia,Human Resources,Patrol Police Department,2019/232,Field Deployment Unit,25675.72
Georgia,Human Resources,Border Police of Georgia,2019/349,Field Deployment Unit,24626.05
Georgia,Human Resources,Patrol Police Department,2019/285,Field Deployment Unit,24180.93
Georgia,Human Resources,Patrol Police Department,2019/313,Field Deployment Unit,22792.07
Georgia,Human Resources,Patrol Police Department,2019/359,Field Deployment Unit,21891.13
Georgia,Technical Equipment & Human Resources,Patrol Police Department,2020/19,Field Deployment Unit,20710.98
Georgia,Operational Activities AIR (MOA - AIR),Patrol Police Department,2021/235,Field Deployment Unit,12432.33
Georgia,Human Resources,Patrol Police Department,2018/244,Operational Response Division,11012.44
Georgia,European Centre for Returns,Patrol Police Department,2021/356,European Centre for Returns,10946.1
Georgia,Human Resources,Patrol Police Department,2019/132,Field Deployment Unit,10738.52
Georgia,Human Resources,Patrol Police Department,2019/178,Field Deployment Unit,10726.75
Georgia,Triton,Border Police of Georgia,2017/1372,Sea Border Sector,10597
Georgia,Human Resources,Patrol Police Department,2018/243,Operational Response Division,9847.21
Georgia,European Centre for Returns,Patrol Police Department,2022/190,European Centre for Returns,9148.5
Georgia,Operational Activities AIR (MOA - AIR),Patrol Police Department,2021/271,Field Deployment Unit,9044.71
Georgia,Focal Points,Patrol Police Department,2017/889,Land Borders Sector,8977
Georgia,European Centre for Returns,Patrol Police Department,2022/106/ECRET,European Centre for Returns,8399.61
Georgia,European Centre for Returns,Patrol Police Department,2022/340,European Centre for Returns,8346
Georgia,European Centre for Returns,Patrol Police Department,2022/400,European Centre for Returns,8346
Georgia,Operational Activities LAND (MOA - LAND),Patrol Police Department,2021/234,Field Deployment Unit,7869.85
Georgia,European Centre for Returns,Patrol Police Department,2018/388,European Centre for Returns,7623.75
Georgia,various projects,Border Police of Georgia,Multiple smaller grants,various,37585.79
Georgia,various projects,Patrol Police Department,Multiple smaller grants,various,321033.8
Germany,European Centre for Returns,Federal Police Regional Office Bad Bramstedt,2021/191,European Centre for Returns,8989812
Germany,Technical Equipment & Human Resources,German Federal Police,2021/128,Field Deployment Unit,8507828
Germany,Technical Equipment & Human Resources,Federal Border Police Headquarters,2022/60,Deployment Management Division,8388748
Germany,European Centre for Returns,Federal Police Regional Office Bad Bramstedt,2021/9,European Centre for Returns,8315273
Germany,European Centre for Returns,Federal Police Regional Office Koblenz,2020/255,European Centre for Returns,8276681
Germany,Technical Equipment & Human Resources,Federal Police Central Office,2020/26,Field Deployment Unit,8200000
Germany,Human Resources,Federal Police Central Office,2019/67,Field Deployment Unit,7900000
Germany,Human Resources,Federal Police Central Office,2018/22,Operational Response Division,7550000
Germany,FOA,Federal Police Regional Office Koblenz,2019/227,European Centre for Returns,7404780.12
Germany,European Centre for Returns,Federal Police Regional Office Koblenz,2022/203,European Centre for Returns,7397356
Germany,European Centre for Returns,Federal Police Central Office,2021/361,European Centre for Returns,7224404
Germany,FOA,Federal Police Regional Office Koblenz,2018/349,European Centre for Returns,7017099
Germany,European Centre for Returns,Federal Police Regional Office Bad Bramstedt,2022/346,European Centre for Returns,6998951
Germany,FOA,Federal Police Regional Office Koblenz,2019/146,European Centre for Returns,6877642.65
Germany,European Centre for Returns,Federal Police Regional Office Koblenz,2022/20,European Centre for Returns,6806355
Germany,FOA,Federal Police Central Office,2018/250,European Centre for Returns,6600023.15
Germany,FOA,Federal Police Regional Office Koblenz,2019/318,European Centre for Returns,6323391.82
Germany,FOA,Federal Police Regional Office Koblenz,2019/24,European Centre for Returns,5942658
Germany,Return Operations,Federal Police Central Office,2018/173,European Centre for Returns,4739507
Germany,Human Resources,Federal Border Police Headquarters,2022/247,Deployment Management Division,4597523.91
Germany,Human Resources,Federal Police Central Office,2021/298,Deployment Management Division,4306606.11
Germany,European Centre for Returns,Federal Police Regional Office Koblenz,2020/169,European Centre for Returns,4285915.99
Germany,FOA,Federal Police Central Office,2018/45,Return Support Unit,4095511
Germany,Human Resources,Federal Border Police Headquarters,2022/166,Deployment Management Division,3807329.9
Germany,European Centre for Returns,Federal Police Regional Office Koblenz,2020/32,European Centre for Returns,3559569.03
Germany,Development and delivery of a pre- deployment training course for maritime Frontex operations for European coast guards,"School and Training Centre for Maritime Policing, German Federal Police",Multiple smaller grants,Training Unit,60000
Germany,European Centre for Returns,"Kreis Coesfeld, Zentrale Ausländerbehörde",Multiple smaller grants,European Centre for Returns,1608
Germany,European Centre for Returns,Ministerium der Justiz und für Migration Baden-Württemberg,Multiple smaller grants,European Centre for Returns,1596
Germany,European Centre for Returns,Regierungspräsidium Darmstadt,Multiple smaller grants,European Centre for Returns,1836
Germany,European Centre for Returns,Regierungspräsidium Kassel,Multiple smaller grants,European Centre for Returns,1832
Germany,European Centre for Returns,"Stadt Bielefeld, Zentrale Ausländerbehörde",Multiple smaller grants,European Centre for Returns,1301
Germany,Technical Equipment,Federal Border Police Headquarters,Multiple smaller grants,Field Operations Unit,2272920
Germany,Technical Equipment & Human Resources,Federal Police Regional Office Koblenz,Multiple smaller grants,Field Deployment Unit,487951
Germany,various projects,Federal Office for Migration and Refugees BAMF,Multiple smaller grants,European Centre for Returns,659116.97
Germany,various projects,Federal Police Central Office,Multiple smaller grants,various,90597071.86
Germany,various projects,Federal Police Regional Office,Multiple smaller grants,various,39058.65
Germany,various projects,Federal Police Regional Office Bad Bramstedt,Multiple smaller grants,various,983301.2999999999
Germany,various projects,German Federal Police,Multiple smaller grants,various,4691348.85
Greece,Human Resources,"Hellenic Police, Ministry of Public Order and Citizens' Protection",2018/52,Operational Response Division,3372288
Greece,Poseidon,"Hellenic Police, Ministry of Public Order and Citizens' Protection",2017/1462,Sea Border Sector,3117392
Greece,Poseidon,Hellenic Coast Guard,2016/666,Sea Border Sector,2714258
Greece,Poseidon,Hellenic Coast Guard,2017/1461,Sea Border Sector,2657475
Greece,Poseidon,Hellenic Coast Guard,2015/609,Sea Border Sector,2646882
Greece,Poseidon,Hellenic Coast Guard,2017/901,Sea Border Sector,2549553
Greece,Poseidon,"Hellenic Police, Ministry of Public Order and Citizens' Protection",2017/948,Sea Border Sector,2522633
Greece,Technical Equipment,Hellenic Coast Guard,2022/178,Field Operations Unit,2502288
Greece,Poseidon,"Hellenic Police, Ministry of Public Order and Citizens' Protection",2016/1349,Sea Border Sector,2455283
Greece,Poseidon,Ministry of Mercantile Marine,2008/184/,Sea Border Sector,2433487
Greece,Poseidon,Hellenic Coast Guard,2015/61,Sea Border Sector,2378261
Greece,Technical Equipment,Hellenic Coast Guard,2022/303,Field Operations Unit,2327452
Greece,Poseidon,Hellenic Coast Guard,2017/137,Sea Border Sector,2290926
Greece,Poseidon,"Hellenic Police, Ministry of Public Order and Citizens' Protection",2017/466,Sea Border Sector,2273376
Greece,Poseidon,Hellenic Coast Guard,2016/1353,Sea Border Sector,2233755
Greece,Technical Equipment,Hellenic Coast Guard,2021/221,Field Deployment Unit,2171544
Greece,Technical Equipment,Hellenic Coast Guard,2018/63,Operational Response Division,2083955
Greece,Technical Equipment,Hellenic Coast Guard,2018/256,Operational Response Division,2032541
Greece,Poseidon,Hellenic Coast Guard,2014/642,Sea Border Sector,2004788.37
Greece,Technical Equipment,Hellenic Coast Guard,2019/235,Field Deployment Unit,1854005
Greece,Poseidon,Hellenic Coast Guard,2012/574,Sea Border Sector,1794091
Greece,Poseidon,Hellenic Coast Guard,2009/256/,Sea Border Sector,1762421.55
Greece,Technical Equipment & Human Resources,"Hellenic Police, Ministry of Public Order and Citizens' Protection",2020/53,Field Deployment Unit,1738433
Greece,Human Resources,"Hellenic Police, Ministry of Public Order and Citizens' Protection",2019/40,Field Deployment Unit,1724259.92
Greece,Technical Equipment & Human Resources,"Hellenic Police, Ministry of Public Order and Citizens' Protection",2022/85,Deployment Management Division,1709910
Greece,Technical Equipment,Hellenic Coast Guard,2018/181,Operational Response Division,1606248
Greece,Poseidon,Hellenic Coast Guard,2009/374/,Sea Border Sector,1582022.55
Greece,Poseidon,Hellenic Coast Guard,2009/103/,Sea Border Sector,1522464.5
Greece,Technical Equipment & Human Resources,Hellenic Coast Guard,2022/74,Deployment Management Division,1504444
Greece,Poseidon,Hellenic Coast Guard,2015/999,Sea Border Sector,1503147
Greece,Technical Equipment & Human Resources,Hellenic Coast Guard,2021/79,Field Deployment Unit,1500000
Greece,Poseidon,"Hellenic Police, Ministry of Public Order and Citizens' Protection",2017/135,Sea Border Sector,1490899
Greece,Technical Equipment,Hellenic Coast Guard,2019/344,Field Deployment Unit,1422437
Greece,Technical Equipment & Human Resources,"Hellenic Police, Ministry of Public Order and Citizens' Protection",2021/68,Field Deployment Unit,1359796
Greece,Poseidon,Hellenic Coast Guard,2009/466/,Sea Border Sector,1305880.5
Greece,Technical Equipment,Hellenic Coast Guard,2019/44,Field Deployment Unit,1274989
Greece,Technical Equipment,Hellenic Coast Guard,2019/171,Field Deployment Unit,1272661
Greece,Technical Equipment,Hellenic Coast Guard,2018/378,Operational Response Division,1232835
Greece,Return Operations,Ministry of Interior Greece,Multiple smaller grants,Return Operations Sector,6680
Greece,various projects,Hellenic Coast Guard,Multiple smaller grants,various,28287675.66
Greece,various projects,"Hellenic Police, Aliens Division",Multiple smaller grants,various,1242592.8900000001
Greece,various projects,"Hellenic Police, Ministry of Public Order and Citizens' Protection",Multiple smaller grants,various,13447576.959999999
Greece,various projects,Ministry of Mercantile Marine,Multiple smaller grants,Sea Border Sector,1203793.92
Hungary,Technical Equipment & Human Resources,Hungarian National Police,2022/38,Deployment Management Division,2977410
Hungary,Technical Equipment & Human Resources,Hungarian National Police,2021/59,Field Deployment Unit,2375809
Hungary,Human Resources,Hungarian National Police,2022/248,Deployment Management Division,1243321.03
Hungary,Human Resources,Hungarian National Police,2021/306,Deployment Management Division,948841.09
Hungary,Technical Equipment & Human Resources,Hungarian National Police,2020/109,Field Deployment Unit,938422
Hungary,Human Resources,Hungarian National Police,2018/13,Operational Response Division,552945
Hungary,Human Resources,Hungarian National Police,2019/56,Field Deployment Unit,539517
Hungary,Return Operations,Immigration and Asylum Office,2017/1683,Return Support Unit,312632
Hungary,Return Operations,Immigration and Asylum Office,2018/95,Return Support Unit,191463
Hungary,Technical Equipment,Hungarian National Police,2018/298,Operational Response Division,188567
Hungary,Neptune,Hungarian National Police,2009/078/,Land Borders Sector,175050.31
Hungary,various projects,Hungarian National Police,Multiple smaller grants,various,3789531.63
Hungary,various projects,Immigration and Asylum Office,Multiple smaller grants,various,359411.88
Hungary,various projects,Law Enforcement School of Szeged,Multiple smaller grants,Training Unit,338691.88
Hungary,various projects,National Directorate-General for Aliens Policing,Multiple smaller grants,various,200575
Hungary,various projects,Office of Immigration and Nationality,Multiple smaller grants,various,563322.71
Iceland,Technical Equipment,Icelandic Coast Guard,2021/277,Field Deployment Unit,1923252
Iceland,Technical Equipment,Icelandic Coast Guard,2019/223,Field Deployment Unit,1723273
Iceland,Technical Equipment,Icelandic Coast Guard,2022/315,Field Operations Unit,1603759
Iceland,Technical Equipment,Icelandic Coast Guard,2022/98,Field Operations Unit,1432962
Iceland,Technical Equipment,Icelandic Coast Guard,2021/99,Field Deployment Unit,1372331
Iceland,Technical Equipment & Human Resources,Icelandic Coast Guard,2020/271,Field Deployment Unit,1353016
Iceland,Hera,Icelandic Coast Guard,2010/262/,Sea Border Sector,1337173.92
Iceland,Triton,Icelandic Coast Guard,2014/1016,Sea Border Sector,1331999.1
Iceland,Technical Equipment,Icelandic Coast Guard,2018/307,Operational Response Division,1305122
Iceland,Technical Equipment,Icelandic Coast Guard,2018/106,Operational Response Division,1275790
Iceland,Hera,Icelandic Coast Guard,2010/184/,Sea Border Sector,1205114.08
Iceland,Technical Equipment,Icelandic Coast Guard,2019/51,Field Deployment Unit,1196145
Iceland,Hera,Icelandic Coast Guard,2010/183/,Sea Border Sector,1148846.67
Iceland,Triton,Icelandic Coast Guard,2015/121,Sea Border Sector,1127614
Iceland,Technical Equipment,Icelandic Coast Guard,2020/188,Field Deployment Unit,1110604
Iceland,Hermes,Icelandic Coast Guard,2014/512,Sea Border Sector,1075345.7
Iceland,Triton,Icelandic Coast Guard,2015/328,Sea Border Sector,1028800
Iceland,Triton,Icelandic Coast Guard,2017/992,Sea Border Sector,1027771
Iceland,Indalo,Icelandic Coast Guard,2011/699/,Sea Border Sector,1023867.36
Iceland,Poseidon,Icelandic Coast Guard,2011/399/,Sea Border Sector,1017789
Iceland,Indalo,Icelandic Coast Guard,2015/795,Sea Border Sector,984579
Iceland,Aeneas,Icelandic Coast Guard,2011/352/,Sea Border Sector,949703.49
Iceland,Aeneas,Icelandic Coast Guard,2011/977/,Sea Border Sector,891187.6
Iceland,Poseidon,Icelandic Coast Guard,2012/928,Sea Border Sector,865618.94
Iceland,Triton,Icelandic Coast Guard,2014/1090,Sea Border Sector,863209.88
Iceland,Poseidon,Icelandic Coast Guard,2017/5,Sea Border Sector,780431
Iceland,Triton,Icelandic Coast Guard,2017/205,Sea Border Sector,741012
Iceland,Poseidon,Icelandic Coast Guard,2010/196/,Sea Border Sector,706788.62
Iceland,Poseidon,Icelandic Coast Guard,2017/1679,Sea Border Sector,696089
Iceland,Poseidon,Icelandic Coast Guard,2015/600,Sea Border Sector,677178
Iceland,Indalo,Icelandic Coast Guard,2012/627,Sea Border Sector,675730.04
Iceland,Triton,Icelandic Coast Guard,2016/85,Sea Border Sector,659270
Iceland,Poseidon,Icelandic Coast Guard,2011/591/,Sea Border Sector,641825.76
Iceland,Hermes,Icelandic Coast Guard,2011/765/,Sea Border Sector,618038
Iceland,Poseidon,Icelandic Coast Guard,2014/417,Sea Border Sector,604323.77
Iceland,Indalo,Icelandic Coast Guard,2012/390,Sea Border Sector,598104.28
Iceland,Hermes,Icelandic Coast Guard,2012/657,Sea Border Sector,597976.74
Iceland,Hermes,Icelandic Coast Guard,2013/910,Sea Border Sector,582435.57
Iceland,Poseidon,Icelandic Coast Guard,2013/570,Sea Border Sector,573515.66
Iceland,Aeneas,Icelandic Coast Guard,2012/25,Sea Border Sector,571102.99
Iceland,Hera,Icelandic Coast Guard,2012/797,Sea Border Sector,548412.16
Iceland,Hermes,Icelandic Coast Guard,2013/1011,Sea Border Sector,546488.03
Iceland,Indalo,Icelandic Coast Guard,2013/466,Sea Border Sector,546014.74
Iceland,Indalo,Icelandic Coast Guard,2013/735,Sea Border Sector,528653.67
Iceland,Human Resources,Ministry of Justice Iceland,Multiple smaller grants,Deployment Management Division,414828.07
Iceland,various projects,Icelandic Coast Guard,Multiple smaller grants,Sea Border Sector,2063421.46
Iceland,various projects,National Police Commissioner,Multiple smaller grants,various,5180336.11
Iceland,various projects,Police department at Keflavík Airport,Multiple smaller grants,Air Border Sector,26315.920000000002
Iceland,various projects,Sudurnes Police District,Multiple smaller grants,various,47521.18
Iraq,2022/CFP/POST/01,European Technology and Training Centre (NGO),2022/125,European Centre for Returns,1617200
Ireland,Return Operations,Garda National Immigration Bureau,2010/731/,Return Operations Sector,401639.77
Ireland,Return Operations,Garda National Immigration Bureau,2009/193/,Return Operations Sector,272359.2
Ireland,Return Operations,Naturalisation and Immigration Service,2013/266,Return Operations Sector,96900
Ireland,Return Operations,Garda National Immigration Bureau,2009/351/,Return Operations Sector,66579.64
Ireland,Return Operations,Garda National Immigration Bureau,2012/97,Return Operations Sector,52719.44
Ireland,Return Operations,Garda National Immigration Bureau,2010/92/,Return Operations Sector,51053.1
Ireland,Return Operations,Garda National Immigration Bureau,2012/497,Return Operations Sector,50827.21
Ireland,Return Operations,Naturalisation and Immigration Service,2015/656,Return Operations Sector,50737
Ireland,Return Operations,Naturalisation and Immigration Service,2015/516,Return Operations Sector,49947
Ireland,Return Operations,Naturalisation and Immigration Service,2015/145,Return Operations Sector,48643
Ireland,Return Operations,Garda National Immigration Bureau,2009/265/,Return Operations Sector,45249.52
Ireland,Return Operations,Garda National Immigration Bureau,2012/237,Return Operations Sector,43872.06
Ireland,Return Operations,Garda National Immigration Bureau,2011/1026/,Return Operations Sector,41167.46
Ireland,Return Operations,Garda National Immigration Bureau,2011/1128/,Return Operations Sector,40488.42
Ireland,Return Operations,Garda National Immigration Bureau,2011/470/,Return Operations Sector,37898.46
Ireland,Return Operations,Naturalisation and Immigration Service,2013/406,Return Operations Sector,37784.04
Ireland,Return Operations,Naturalisation and Immigration Service,2015/64,Return Operations Sector,37374
Ireland,Return Operations,Naturalisation and Immigration Service,2013/4,Return Operations Sector,36617.66
Ireland,Return Operations,Garda National Immigration Bureau,2012/794,Return Operations Sector,36584.31
Ireland,Hammer,Garda National Immigration Bureau,2008/297/,Air Border Sector,32359.05
Ireland,Return Operations,Naturalisation and Immigration Service,2013/197,Return Operations Sector,31706.8
Ireland,Attica,Garda National Immigration Bureau,2011/633/,Return Operations Sector,28203.94
Ireland,Hammer,Garda National Immigration Bureau,2008/381/,Air Border Sector,21572.7
Ireland,Return Operations,Naturalisation and Immigration Service,2013/372,Return Operations Sector,21464.4
Ireland,Return Operations,Garda National Immigration Bureau,2011/43/,Return Operations Sector,18017.36
Ireland,various projects,Garda National Immigration Bureau,Multiple smaller grants,various,90067.45
Ireland,various projects,Naturalisation and Immigration Service,Multiple smaller grants,various,21801.739999999998
Italy,European Centre for Returns,Guardia Costiera,2022/204,European Centre for Returns,4241181
Italy,2020/CFP/TRU/01,Guardia di Finanza,2020/264,Training Unit,3695630
Italy,European Centre for Returns,Guardia Costiera,2022/336,European Centre for Returns,3364127
Italy,Human Resources,Guardia Costiera,2022/263,Deployment Management Division,2881418.32
Italy,Nautilus,Guardia Costiera,2008/186/,Sea Border Sector,2763007.83
Italy,Hera,Guardia Costiera,2008/193/,Sea Border Sector,2727259.24
Italy,European Centre for Returns,Guardia Costiera,2021/26,European Centre for Returns,2685985
Italy,European Centre for Returns,Guardia Costiera,2022/19,European Centre for Returns,2628853
Italy,Trainings standing corps,Guardia di Finanza,Multiple smaller grants,Training Unit,281354.66
Italy,various projects,Guardia Costiera,Multiple smaller grants,various,219141046.35
Italy,various projects,Italian Ministry of Interior,Multiple smaller grants,various,475047.76
Kosovo,Human Resources,General Directorate of Kosovo Police,2019/138,Field Deployment Unit,45735.01
Kosovo,Human Resources,General Directorate of Kosovo Police,2019/117,Field Deployment Unit,20521.53
Kosovo,Technical Equipment & Human Resources,General Directorate of Kosovo Police,2021/270,Field Deployment Unit,17803.73
Kosovo,Human Resources,General Directorate of Kosovo Police,2019/219,Field Deployment Unit,17381.08
Kosovo,Human Resources,General Directorate of Kosovo Police,2019/206,Field Deployment Unit,16491.91
Kosovo,Human Resources,General Directorate of Kosovo Police,2019/312,Field Deployment Unit,16475.86
Kosovo,Human Resources,General Directorate of Kosovo Police,2018/176,Operational Response Division,15817.81
Kosovo,Human Resources,General Directorate of Kosovo Police,2019/177,Field Deployment Unit,15235.73
Kosovo,Human Resources,General Directorate of Kosovo Police,2018/275,Operational Response Division,11603.08
Kosovo,Human Resources,General Directorate of Kosovo Police,2018/159,Operational Response Division,10841.24
Kosovo,Focal Points,General Directorate of Kosovo Police,2022/334,Deployment Management Division,10826.26
Kosovo,Triton,General Directorate of Kosovo Police,2017/1704,Sea Border Sector,10284
Kosovo,Human Resources,General Directorate of Kosovo Police,2018/117,Operational Response Division,10127.55
Kosovo,Human Resources,General Directorate of Kosovo Police,2018/197,Operational Response Division,9872.89
Kosovo,FOA,General Directorate of Kosovo Police,2017/375,Land Borders Sector,9777
Kosovo,Multipurpose Operational Activities LAND,General Directorate of Kosovo Police,2021/210,Field Deployment Unit,9352.87
Kosovo,Focal Points,General Directorate of Kosovo Police,2022/305,Deployment Management Division,9285.46
Kosovo,Focal Points,General Directorate of Kosovo Police,2017/713,Air Border Sector,8954
Kosovo,Human Resources,General Directorate of Kosovo Police,2019/258,Field Deployment Unit,8450.86
Kosovo,Human Resources,General Directorate of Kosovo Police,2019/308,Field Deployment Unit,8129.86
Kosovo,Human Resources,General Directorate of Kosovo Police,2018/318,Operational Response Division,7179.7
Kosovo,Human Resources,General Directorate of Kosovo Police,2018/198,Operational Response Division,6751.7
Kosovo,Human Resources,General Directorate of Kosovo Police,2018/239,Operational Response Division,6476.71
Kosovo,Human Resources,General Directorate of Kosovo Police,2019/88,Field Deployment Unit,6367.57
Kosovo,Human Resources,General Directorate of Kosovo Police,2018/351,Operational Response Division,5834.71
Kosovo,Human Resources,General Directorate of Kosovo Police,2018/339,Operational Response Division,5479.47
Kosovo,Human Resources,General Directorate of Kosovo Police,2018/317,Operational Response Division,3715.04
Kosovo,Human Resources,General Directorate of Kosovo Police,Multiple smaller grants,Operational Response Division,6115.049999999999
Latvia,Technical Equipment,State Border Guard,2021/232,Field Deployment Unit,1924915
Latvia,Technical Equipment,State Border Guard,2018/70,Operational Response Division,1850649
Latvia,Technical Equipment,State Border Guard,2022/220,Field Operations Unit,1629612
Latvia,Technical Equipment,State Border Guard,2022/56,Field Operations Unit,1611095
Latvia,Technical Equipment,State Border Guard,2021/51,Field Deployment Unit,1533138
Latvia,Technical Equipment & Human Resources,State Border Guard,2022/76,Deployment Management Division,1417738
Latvia,Human Resources,State Border Guard,2019/92,Field Deployment Unit,1335978
Latvia,Human Resources,State Border Guard,2018/75,Operational Response Division,1312588
Latvia,Technical Equipment,State Border Guard,2018/300,Operational Response Division,1229322
Latvia,Technical Equipment,State Border Guard,2019/217,Field Deployment Unit,1165093
Latvia,Technical Equipment,State Border Guard,2020/67,Field Deployment Unit,1143899
Latvia,Technical Equipment,State Border Guard,2021/70,Field Deployment Unit,1112749
Latvia,Human Resources,State Border Guard,2021/286,Deployment Management Division,1099209.21
Latvia,Technical Equipment & Human Resources,State Border Guard,2021/136,Field Deployment Unit,1096045
Latvia,Technical Equipment,State Border Guard,2018/301,Operational Response Division,1093467
Latvia,Technical Equipment & Human Resources,State Border Guard,2020/181,Field Deployment Unit,1088393
Latvia,Technical Equipment,State Border Guard,2019/34,Field Deployment Unit,1060332.9
